# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = noname_1.data.R
# init = 2 (Default)
# random
#   seed = 8675309
# output
#   file = noname_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.231856
# Diagonal elements of inverse mass matrix:
# 8.55594, 0.587842, 32.8016, 21.3595, 28.7063, 20.3906, 21.8046, 25.5191, 26.4725, 26.1154
-19.0251,0.811059,0.231856,3,15,0,22.6266,4.53672,2.8884,7.709,10.3985,-3.37657,7.11437,1.03629,1.87629,6.52604,8.7095,-4.54193,-3.25029,-3.6918,-3.31689,-3.14176,-3.32001,-3.87978,-3.82602,3.47067,28.6921,-18.4045,-7.30591,-6.18208,5.50084,4.29061,-0.447202
-20.6748,0.732472,0.231856,3,15,0,24.1092,5.87246,10.0051,8.4447,9.15112,6.12833,6.08123,0.362902,1.00216,7.55672,1.03786,-4.47679,-3.22815,-3.85427,-3.32032,-3.12763,-3.31683,-3.76683,-3.99476,16.7949,9.43248,-5.96775,9.49639,-4.20306,-4.56673,10.7567,8.80996
-23.4006,0.897382,0.231856,4,15,0,27.291,6.34389,3.79143,9.348,4.87952,-5.0986,10.9112,4.99958,-1.10814,10.9231,15.6543,-4.40009,-3.27021,-3.70013,-3.38005,-3.33835,-3.3352,-3.47194,-3.82992,-2.42879,10.6438,-30.9284,25.9269,-5.47851,-1.11414,17.4966,17.6201
-24.189,1,0.231856,4,15,0,27.6937,3.72911,6.67878,16.1491,0.212796,15.3951,17.6297,-0.399807,9.3646,12.4872,-0.502347,-3.93909,-3.52473,-4.35242,-3.78374,-3.11839,-3.60595,-3.37348,-4.05053,8.28156,17.7857,44.3383,0.377799,6.57299,19.3083,-4.80664,-9.89589
-22.2253,0.991594,0.231856,4,31,0,29.3668,8.24013,4.69168,11.7927,20.9564,12.6576,11.7915,8.32119,2.50559,16.0271,9.36262,-4.21071,-4.06086,-4.17035,-3.4117,-3.65249,-3.3262,-3.24099,-3.82004,36.7896,14.4665,40.3767,3.93752,7.13532,8.92177,9.56193,25.5724
-20.3992,0.999095,0.231856,4,15,0,25.1534,8.68052,3.24922,12.2929,11.9421,0.0159628,10.6888,6.1547,12.5402,3.65577,5.26017,-4.17524,-3.29922,-3.70929,-3.37306,-3.43215,-3.86715,-4.25031,-3.87941,-23.4386,29.7088,1.44532,10.0353,-1.58811,25.5413,8.20891,0.580974
-19.3072,0.995365,0.231856,4,15,0,24.4786,2.67504,4.79709,1.29984,11.3909,8.43207,-0.0847436,-1.19654,3.46412,12.7644,2.48669,-5.21121,-3.27901,-3.94679,-3.52425,-3.1164,-3.34192,-3.35858,-3.94898,23.8279,8.65314,3.71327,-6.0422,7.07915,7.52223,1.35572,-15.9499
-18.4909,0.98144,0.231856,4,15,0,23.8696,2.18197,4.13163,-2.2674,-1.3466,8.00489,1.71333,4.62111,-0.00869511,3.33544,-4.07974,-5.6628,-3.65832,-3.92807,-3.43233,-3.31121,-3.32104,-4.29677,-4.20832,7.63956,4.45268,-15.3052,34.0004,-0.975815,1.7219,19.4529,9.77557
-20.306,1,0.231856,3,7,0,23.059,2.26207,5.08564,-4.21897,-1.54744,9.12541,0.10423,4.90376,0.626516,3.23761,-4.35278,-5.93379,-3.67729,-3.97869,-3.51333,-3.33131,-3.31741,-4.31116,-4.22199,4.16145,19.0482,11.2449,10.0633,8.37099,1.02607,1.85828,-27.1146
-18.1359,0.988707,0.231856,4,15,0,23.3262,2.55602,4.74628,6.1087,5.24343,-3.95061,-0.0691968,-4.39083,-1.24969,-0.0306624,6.28125,-4.69194,-3.25952,-3.69329,-3.52334,-3.18714,-3.33775,-4.84705,-3.85978,3.99633,15.8008,-0.624436,-2.7374,-5.90627,-0.218745,-8.56582,12.9335
-20.3397,0.975236,0.231856,4,15,0,23.0158,0.662589,4.46857,-5.51746,6.5411,5.85441,0.497742,-0.735507,-2.38267,5.48006,10.1056,-6.12348,-3.23217,-3.84465,-3.49154,-3.11659,-3.36412,-4.00527,-3.81485,-2.11135,11.7084,9.64279,5.64966,-12.1182,-4.73418,19.3487,0.693169
-18.3308,0.979237,0.231856,2,7,0,25.2916,0.495703,4.87195,-4.70311,5.18978,4.5359,0.108289,0.548123,-0.244454,4.34468,7.9401,-6.00364,-3.26101,-3.80244,-3.5131,-3.13096,-3.32323,-4.15386,-3.83475,-13.3735,5.38896,1.7561,6.22045,-1.63429,-22.862,1.93843,26.3541
-19.7838,0.996851,0.231856,4,31,0,23.3482,5.6796,5.94194,13.6219,9.55488,11.4474,11.6258,5.29794,8.25069,2.99523,-1.25802,-4.08639,-3.23361,-4.0992,-3.40526,-3.361,-3.53408,-4.34724,-4.08057,20.5447,14.5682,18.0396,13.1647,-3.4297,-1.74042,-7.57063,3.43168
-19.4211,0.999476,0.231856,4,15,0,24.5919,7.84552,5.11078,7.44425,9.23328,3.64101,2.43798,7.46115,-0.440356,17.021,13.4958,-4.56596,-3.22913,-3.77767,-3.40283,-3.55808,-3.32541,-3.22632,-3.81276,17.785,12.2026,9.72353,12.2121,6.35716,-7.20715,-2.24521,-16.1631
-16.355,0.998917,0.231856,4,15,0,22.7667,7.63237,3.0366,6.50097,8.60182,10.1732,8.58849,5.32546,15.0167,7.52682,10.1511,-4.65412,-3.22333,-4.03046,-3.32726,-3.36315,-4.12869,-3.76996,-3.81459,17.7947,8.98756,-25.699,24.4633,3.92024,11.6051,8.91787,12.3768
-15.7297,0.97326,0.231856,4,15,0,20.9297,8.90636,2.9218,8.06757,14.251,11.2755,7.47946,10.0125,4.84292,7.04615,8.17866,-4.50988,-3.4169,-4.08956,-3.31778,-3.86477,-3.37786,-3.82146,-3.83185,15.7204,18.4947,3.12169,12.0392,-14.3807,-13.8948,8.19069,10.1748
-17.7651,0.910075,0.231856,4,31,0,26.14,14.2307,3.03327,13.4222,8.88757,14.1728,16.1935,14.2254,13.8237,15.2502,16.1294,-4.09924,-3.22546,-4.26751,-3.66609,-4.54711,-3.99637,-3.25933,-3.83562,6.15686,14.8407,16.6537,13.1412,12.5971,33.795,20.7635,-6.16585
-17.7693,0.981716,0.231856,4,15,0,23.2344,9.607,3.57421,14.249,6.48914,17.3166,7.60725,7.17859,7.13193,12.2581,11.688,-4.04719,-3.23294,-4.49771,-3.31836,-3.52906,-3.47221,-3.38637,-3.80946,50.1649,12.886,0.729233,13.5522,0.976837,27.9449,10.2321,40.0231
-24.3596,0.963177,0.231856,4,15,0,26.226,8.73534,6.81696,16.382,15.2317,20.1871,-1.51217,0.145183,13.9492,10.644,1.59817,-3.92694,-3.48301,-4.7416,-3.61624,-3.12426,-4.00973,-3.49208,-3.97628,1.41981,27.6153,6.20573,1.53998,6.0023,20.3346,-12.4785,-20.8157
-25.0509,0.84217,0.231856,4,15,0,30.5721,12.0113,5.11659,2.47949,12.8303,19.6452,2.67521,6.41686,13.7274,19.0053,8.5252,-5.07431,-3.33818,-4.6931,-3.39412,-3.45573,-3.9862,-3.22658,-3.82794,-8.49961,6.49921,12.5176,-17.3567,5.3494,30.2174,1.42661,-1.67557
-24.6534,0.979667,0.231856,4,15,0,29.1432,7.39333,8.47245,1.01084,13.0332,20.1853,4.84959,10.3711,14.9673,11.8635,14.4032,-5.24569,-3.34819,-4.74145,-3.33594,-3.91433,-4.12297,-3.40981,-3.81822,-12.7789,27.1253,-10.0079,24.9991,14.9364,16.1304,1.22852,1.30618
-25.2939,0.903997,0.231856,4,15,0,30.7886,12.8029,3.83804,16.3802,7.34041,17.789,7.35671,-0.849717,11.627,13.2228,17.3078,-3.92703,-3.2237,-4.53563,-3.31736,-3.1163,-3.7835,-3.33563,-3.85279,4.90326,6.9776,28.3033,9.48013,3.81368,8.6508,13.5965,35.5211
-22.4367,0.999096,0.231856,4,15,0,26.8022,7.63331,5.82227,21.277,13.7558,9.55177,14.09,2.1561,4.48098,13.0793,19.2571,-3.72743,-3.38717,-3.99924,-3.52455,-3.17765,-3.3669,-3.34259,-3.89058,34.2497,11.6873,49.8718,3.05563,2.54253,4.10092,31.5188,31.5631
-23.2264,0.67517,0.231856,5,31,0,31.4568,10.7138,11.331,23.8128,10.7161,4.93522,11.174,4.75932,2.71766,14.5414,18.8838,-3.66595,-3.25841,-3.81451,-3.38883,-3.32091,-3.32903,-3.28133,-3.88244,13.9083,8.76811,24.8589,7.34931,-9.76145,13.9376,6.71,2.47399
-18.8266,0.995578,0.231856,4,15,0,25.4211,10.8233,5.33588,10.203,12.6259,9.92492,13.0902,8.47693,13.2046,9.08761,17.0807,-4.33084,-3.32852,-4.0178,-3.4701,-3.67056,-3.93234,-3.61868,-3.84915,-5.64744,21.136,25.6824,11.6065,12.4867,28.2262,14.9655,25.747
-9.57915,0.995981,0.231856,3,7,0,19.6698,9.96987,1.42685,11.4172,9.98463,10.6999,9.55583,9.84911,8.14477,11.0155,7.93623,-4.23808,-3.24122,-4.05811,-3.34383,-3.84273,-3.52777,-3.46544,-3.8348,2.84367,19.1655,13.331,25.9374,0.764319,-4.56689,-4.12566,-15.4012
-10.3201,0.886103,0.231856,2,7,0,12.8569,10.0451,1.42959,13.1568,9.07285,9.77023,10.4442,10.8305,8.74885,10.976,9.55323,-4.11659,-3.22728,-4.01004,-3.36585,-3.98012,-3.56495,-3.46821,-3.81855,22.377,15.2362,-1.68028,12.7749,1.58217,20.1397,15.6403,-8.51661
-12.4334,0.143033,0.231856,4,31,0,18.7648,5.24852,0.99242,8.16109,3.91493,5.99362,4.36984,3.04932,4.41308,6.03968,4.01,-4.50162,-3.30496,-3.84951,-3.34542,-3.21738,-3.36497,-3.93677,-3.90783,24.2052,20.0586,5.9053,3.72243,-7.11063,0.15162,0.0660325,22.8701
-12.9538,1,0.231856,3,15,0,17.7339,8.94207,2.92313,9.74009,10.9307,6.66784,9.63141,8.25095,11.7854,9.86405,9.9609,-4.36793,-3.26447,-3.87408,-3.34545,-3.64444,-3.79752,-3.55249,-3.81573,-23.3294,16.7324,24.1203,22.4059,-12.6983,32.163,-3.6146,-2.42081
-19.6516,0.17652,0.231856,5,31,0,21.5149,9.50798,4.95968,10.9274,16.404,6.70376,17.1938,10.639,10.3287,9.90131,13.9138,-4.27471,-3.57466,-3.87544,-3.74623,-3.95237,-3.67644,-3.54947,-3.81496,4.47141,20.397,5.44241,8.55748,19.7583,15.6863,18.3248,29.1241
-18.4232,0.945067,0.231856,4,15,0,24.7375,11.3654,4.20576,10.2835,13.4232,13.8462,9.87565,7.20819,7.54932,5.43613,9.15431,-4.32449,-3.36858,-4.24581,-3.351,-3.53205,-3.49408,-4.01078,-3.82181,8.14956,-5.5193,7.63113,2.50969,9.41122,4.71832,26.3262,9.77173
-21.1697,0.803865,0.231856,4,15,0,25.4142,8.52406,5.88678,16.1155,8.02853,9.70569,12.5362,0.102099,12.4254,21.8924,11.7519,-3.94086,-3.22153,-4.00683,-3.44348,-3.12366,-3.85626,-3.29728,-3.80941,33.4656,21.9638,-5.60365,14.8724,-3.53629,0.440093,25.2034,9.96594
-17.5525,0.995901,0.231856,4,15,0,22.5557,10.0933,3.8102,18.0712,7.22384,10.4119,6.32366,6.47529,9.7827,12.2502,14.5882,-3.84606,-3.22454,-4.04285,-3.31872,-3.4611,-3.63558,-3.38682,-3.81965,29.7873,1.06605,11.5928,32.6339,13.1743,13.4297,13.5473,2.22375
-11.9054,0.973776,0.231856,4,15,0,20.748,10.8488,1.9593,8.36761,11.3088,11.6645,13.0211,11.3102,10.835,11.663,10.3348,-4.4835,-3.27627,-4.11154,-3.46664,-4.0516,-3.71653,-3.42231,-3.81359,14.7332,15.4506,12.1354,-2.17458,3.84644,-2.68785,7.7226,27.1246
-14.2148,0.672601,0.231856,4,15,0,18.9509,7.91664,3.23204,9.1144,9.48014,7.75553,5.05891,4.68169,9.7976,11.2938,4.03924,-4.41958,-3.23248,-3.91747,-3.3324,-3.31543,-3.63666,-3.44639,-3.90711,32.2796,20.8569,11.4229,-18.3264,-0.633432,18.439,4.84144,13.8076
-15.6593,0.862933,0.231856,3,7,0,19.1599,8.48473,1.22594,7.87653,7.10267,8.11201,12.4543,11.0947,6.71587,8.46619,9.84245,-4.52689,-3.22555,-3.93269,-3.43977,-4.01913,-3.45184,-3.67599,-3.81649,8.41283,9.46649,7.84721,14.6685,7.79816,20.3535,22.6978,-29.7779
-12.5155,0.941036,0.231856,3,7,0,16.3367,8.81186,1.55923,8.7635,7.56145,6.84049,12.2418,11.2539,8.22029,8.29267,9.56639,-4.44931,-3.22249,-3.88066,-3.43037,-4.04307,-3.53226,-3.69269,-3.81845,16.5426,15.2405,-3.28705,24.6682,19.881,0.70263,9.6984,12.8654
-10.3554,0.720745,0.231856,3,7,0,16.5051,9.15184,2.01866,10.1697,9.25492,9.49121,6.93516,8.37987,7.47029,11.0331,8.76524,-4.33348,-3.2294,-3.99627,-3.31685,-3.65926,-3.48983,-3.46421,-3.82546,21.0786,0.737473,8.47686,21.847,4.39576,15.4196,15.5662,-16.8332
-19.8337,0.636713,0.231856,4,23,0,23.9406,2.90365,7.80292,2.89948,-3.26107,4.12974,1.36191,1.09772,7.35432,8.44216,9.31379,-5.02707,-3.85558,-3.79081,-3.44819,-3.14333,-3.48368,-3.67829,-3.82045,0.975111,1.39696,30.5106,1.78569,6.07436,-1.38859,-0.18015,12.2944
-19.9874,0.985631,0.231856,4,15,0,22.4821,4.0676,7.81483,6.38072,7.92201,0.854084,11.4573,1.17224,5.59657,0.730575,-0.345226,-4.66564,-3.22155,-3.72054,-3.39893,-3.14529,-3.40414,-4.71269,-4.0445,15.5772,-5.44406,32.1454,5.85894,-0.83096,20.6207,-5.54376,-27.271
-14.4318,0.982973,0.231856,4,15,0,23.0646,2.22129,3.3149,1.06319,0.899764,2.8555,-2.18317,2.01147,-0.911298,5.60181,5.09878,-5.23941,-3.47359,-3.75849,-3.66531,-3.17214,-3.33193,-3.9901,-3.88281,-12.1438,5.18995,-2.24908,-19.6591,7.70728,-7.7903,-1.06553,-7.60623
-12.4079,0.945652,0.231856,3,15,0,17.8968,1.82267,2.12321,1.8351,0.237212,4.4403,0.697083,-0.397849,4.508,5.17614,2.15072,-5.14833,-3.52283,-3.79965,-3.48099,-3.1184,-3.36769,-4.04378,-3.95901,-18.8306,-6.77272,-21.7226,-16.5103,17.3172,10.5078,2.75127,-9.8957
-15.2956,0.431099,0.231856,4,31,0,20.2008,5.52184,3.54924,6.39055,6.42126,1.41045,5.09025,6.75042,0.906383,1.09512,6.48944,-4.6647,-3.23399,-3.72952,-3.3319,-3.48696,-3.31687,-4.6504,-3.85617,17.074,-10.4262,-13.0299,4.91808,6.30914,-5.15188,8.84364,14.6052
-17.1559,0.971547,0.231856,4,15,0,19.2687,7.95329,4.47288,10.0437,9.1914,6.73958,6.07372,13.3643,5.76445,5.861,12.7111,-4.3435,-3.22862,-3.8768,-3.32038,-4.38983,-3.41064,-3.9583,-3.81009,14.8086,14.3511,-33.2717,-3.90345,6.20583,26.2615,11.4625,8.31201
-22.4485,0.923608,0.231856,4,15,0,27.9016,6.54077,9.52576,11.6322,3.59203,2.39002,-2.23095,2.641,-0.394234,24.2474,10.9746,-4.22233,-3.31867,-3.74827,-3.66894,-3.198,-3.32487,-3.41667,-3.81093,33.7755,-13.041,10.2867,-7.50984,17.8368,1.57393,29.4829,12.3957
-23.5215,0.986155,0.231856,5,31,0,30.8373,11.3045,5.08551,15.0946,14.0727,11.0688,20.9604,5.26036,15.2804,2.3146,11.8451,-3.9971,-3.40591,-4.07811,-4.12218,-3.35809,-4.15951,-4.45168,-3.80935,-1.32843,28.5422,33.1468,39.5873,-15.8012,11.4813,14.8626,-13.973
-23.6505,0.876432,0.231856,4,15,0,27.7858,13.7582,7.42559,16.7047,14.976,13.9556,14.3195,2.85491,10.4981,4.97212,10.9605,-3.91051,-3.46485,-4.25303,-3.53822,-3.20789,-3.68962,-4.07015,-3.81098,3.58014,17.7944,5.27512,13.1678,0.677867,14.0322,-12.3653,11.7018
-22.4236,0.971508,0.231856,5,31,0,33.2726,4.49185,9.35107,0.826695,8.99883,4.50514,11.1061,13.3197,5.80197,15.3646,5.36865,-5.26785,-3.22651,-3.80154,-3.3865,-4.38192,-3.41212,-3.25625,-3.87717,1.82004,12.3401,18.8449,20.1398,3.85866,20.1924,30.298,2.41414
-25.787,0.983119,0.231856,4,15,0,28.224,8.09606,5.3873,14.8855,-2.74005,5.48711,5.07235,-8.12043,4.05061,3.10786,15.67,-4.00919,-3.79827,-3.83221,-3.33219,-3.42913,-3.35529,-4.3304,-3.8301,-9.92666,4.0152,6.47035,19.2143,-22.8644,1.05113,4.27647,42.4718
-19.4,0.897017,0.231856,4,31,0,31.9731,6.63947,8.17312,11.8962,4.0577,5.52719,7.70761,2.62959,10.5503,14.98,11.5349,-4.20328,-3.29923,-3.83354,-3.3189,-3.19748,-3.69373,-3.26713,-3.80964,17.1322,5.04861,-6.11071,-27.4754,6.99873,28.6117,10.2393,36.4732
-13.853,0.750979,0.231856,4,15,0,20.7564,8.21846,2.45898,8.26791,5.10438,7.40842,5.87772,4.18239,9.17715,10.7291,11.5228,-4.49222,-3.26345,-3.90312,-3.32204,-3.28195,-3.59314,-3.48585,-3.80966,6.20942,5.55738,21.042,-2.13743,-6.6865,10.4639,7.26328,12.8055
-12.5747,0.959405,0.231856,3,7,0,16.1869,6.91606,3.13893,9.29642,5.95432,4.88305,8.47361,4.93348,4.76749,6.9958,9.5724,-4.40438,-3.24245,-3.8129,-3.32581,-3.33349,-3.37549,-3.82699,-3.8184,18.1747,10.7472,1.97882,8.80207,-10.3585,4.68713,-0.104428,-10.7958
-10.7469,0.956807,0.231856,3,7,0,14.7353,6.0433,2.0309,5.22932,8.77879,5.19022,6.79122,5.82869,5.88423,3.68091,7.74169,-4.77922,-3.22456,-3.82254,-3.31701,-3.40401,-3.41541,-4.24671,-3.83729,16.8531,16.8534,-0.910585,21.0215,9.86608,15.7905,1.36842,-15.9847
-13.8478,0.742869,0.231856,3,7,0,16.9586,6.76034,1.60995,7.6831,3.38969,6.16736,5.10772,3.77708,3.58842,9.08795,6.35944,-4.54427,-3.3278,-3.85567,-3.33163,-3.25703,-3.34452,-3.61865,-3.85841,6.74035,-5.96463,-27.4746,2.32707,-0.57511,26.2126,6.43696,40.9023
-9.55828,0.865439,0.231856,3,7,0,19.8635,6.55234,1.78374,5.26355,7.7745,7.24651,4.00733,5.8987,6.64264,7.21775,8.10821,-4.77576,-3.22178,-3.89659,-3.35384,-3.40994,-3.4484,-3.80281,-3.83268,16.9794,-11.817,12.1138,22.5631,6.46995,9.54282,16.7984,0.26708
-9.43702,0.606097,0.231856,3,15,0,13.5248,3.85092,1.67853,4.08337,2.08023,4.31222,6.07372,3.37729,3.46161,2.84538,1.89633,-4.89811,-3.39674,-3.79596,-3.32038,-3.23444,-3.34187,-4.36984,-3.96685,-7.99152,-2.30625,15.3523,13.1727,2.00633,1.24789,14.2194,13.4983
-10.6929,0.575328,0.231856,3,7,0,12.5168,3.12841,2.46327,4.45367,2.57056,3.53395,3.07047,1.32618,5.01685,6.18766,3.6175,-4.85905,-3.36892,-3.77491,-3.38064,-3.14957,-3.38351,-3.91918,-3.91775,-17.6256,19.0389,-3.28758,-10.1659,12.473,2.14291,11.998,8.62909
-11.1646,0.568835,0.231856,3,15,0,14.5103,3.89837,2.33531,3.02023,2.8749,4.78846,4.76222,1.37963,5.04066,7.6039,3.23819,-5.01363,-3.35286,-3.81,-3.33753,-3.15112,-3.3843,-3.76192,-3.92778,-8.43896,19.2233,-19.8842,-5.66933,8.00113,18.6766,2.17711,-12.644
-8.34054,0.820138,0.231856,3,7,0,13.0277,4.73795,1.25768,6.07669,6.07249,4.29113,5.10194,5.90692,3.91064,2.6601,5.53717,-4.69506,-3.2401,-3.79536,-3.33172,-3.41064,-3.35184,-4.39809,-3.87377,-2.03255,19.4317,11.2663,35.6365,15.689,7.93514,24.5619,19.3014
-9.72651,0.445496,0.231856,3,11,0,11.2842,4.85636,1.77793,4.2141,4.50426,5.52505,5.27454,2.87445,5.79416,8.31337,4.2816,-4.88425,-3.28262,-3.83347,-3.32914,-3.20883,-3.41181,-3.69068,-3.90125,-7.99507,10.293,26.0854,-4.97276,-10.5913,-1.54446,-11.6977,-22.2416
-14.105,0.456437,0.231856,3,7,0,22.3997,4.5055,2.46689,2.31477,7.03021,3.53529,6.77135,9.72901,4.41134,3.95385,5.68685,-5.09306,-3.22623,-3.77495,-3.31705,-3.82673,-3.36492,-4.208,-3.87082,-9.93159,12.468,-10.7113,0.671984,-0.476333,9.48549,-0.621749,9.34121
-12.6049,1,0.231856,3,7,0,15.3243,4.41705,1.28565,7.38681,4.18411,4.2572,2.90637,1.17644,4.27289,6.84663,4.92787,-4.57122,-3.29433,-3.79439,-3.38608,-3.1454,-3.3611,-3.84351,-3.88649,-10.0207,20.6409,25.7176,17.2412,11.0328,-7.966,5.99394,17.2414
-12.6049,0.0208775,0.231856,3,15,0,27.2249,4.41705,1.28565,7.38681,4.18411,4.2572,2.90637,1.17644,4.27289,6.84663,4.92787,-4.57122,-3.29433,-3.79439,-3.38608,-3.1454,-3.3611,-3.84351,-3.88649,12.9019,9.68518,-29.0446,3.79395,16.5028,-13.1825,-17.3186,5.91243
-13.3284,0.979743,0.231856,3,7,0,16.4364,4.38192,2.39141,1.97152,4.23827,4.72692,7.23464,8.31944,4.40918,2.2206,3.94035,-5.1325,-3.29228,-3.80814,-3.31706,-3.65229,-3.36486,-4.46647,-3.90955,6.4231,8.01093,30.864,21.1637,10.477,29.6437,-18.4951,21.7198
-16.2105,0.876291,0.231856,4,15,0,18.3086,5.66391,3.55448,11.6024,1.80457,7.51533,8.28883,2.27731,10.5271,8.55457,8.15684,-4.2245,-3.41344,-3.90749,-3.3237,-3.18246,-3.6919,-3.6676,-3.8321,5.7672,0.431176,11.5061,22.0485,6.75982,34.6369,-11.1577,-0.505677
-14.0268,0.966768,0.231856,4,31,0,20.2021,3.51583,2.93179,2.29209,7.61783,2.29419,0.0520194,2.99686,-0.713846,4.38779,2.23424,-5.09565,-3.22225,-3.74627,-3.51631,-3.21477,-3.32897,-4.14799,-3.95649,-15.0694,10.3249,3.85014,2.0947,4.63567,2.28615,0.906862,-12.446
-16.8412,0.901472,0.231856,4,15,0,19.6008,1.87908,4.54763,3.75145,3.58201,3.77327,11.2353,2.05659,2.49165,1.75789,0.566189,-4.93364,-3.31912,-3.78113,-3.39096,-3.17383,-3.32603,-4.54055,-4.01106,5.0476,-6.49267,-8.31886,23.6326,6.85717,-18.0534,-22.3163,-6.13606
-15.7033,0.99426,0.231856,4,15,0,19.6839,3.29716,3.49783,4.75038,4.58301,3.7886,-3.52322,3.50133,4.44776,8.0316,7.66194,-4.8282,-3.2799,-3.78154,-3.77443,-3.24124,-3.36595,-3.71837,-3.83835,-2.921,7.42663,-6.8236,-5.28339,7.27812,13.2752,-2.30452,3.32927
-22.2738,0.791561,0.231856,4,15,0,24.8989,0.419539,7.68167,4.2716,-5.41887,6.87238,4.30408,-0.249273,-9.78462,6.74635,-7.79585,-4.87818,-4.12185,-3.88189,-3.34687,-3.11964,-3.79745,-3.85475,-4.41406,1.25419,6.1671,-2.12612,14.7023,-0.222753,-20.107,-1.15527,17.0095
